sample_accession	illumina_sample_id	entity:CHM13_SGDP_sample_id
SAMEA3302733	SS6004480	simons_data_sample_1
SAMEA3302774	LP6005442-DNA_H09	simons_data_sample_2
SAMEA3302735	LP6005442-DNA_H03	simons_data_sample_3
SAMEA3302664	LP6005442-DNA_H04	simons_data_sample_4
SAMEA3302819	LP6005443-DNA_C09	simons_data_sample_5
SAMEA3302734	LP6005443-DNA_C03	simons_data_sample_6
SAMEA3302852	LP6005592-DNA_C02	simons_data_sample_7
SAMEA3302752	LP6005443-DNA_C04	simons_data_sample_8
SAMEA3302618	LP6005443-DNA_G11	simons_data_sample_9
SAMEA3302645	LP6005519-DNA_H03	simons_data_sample_10
SAMEA3302800	LP6005592-DNA_C05	simons_data_sample_11
SAMEA3302694	LP6005619-DNA_C01	simons_data_sample_12
SAMEA3302717	LP6005677-DNA_B02	simons_data_sample_13
SAMEA3302780	LP6005677-DNA_B01	simons_data_sample_14
SAMEA3302891	LP6005443-DNA_C06	simons_data_sample_15
SAMEA3302848	LP6005677-DNA_E01	simons_data_sample_16
SAMEA3302842	LP6005442-DNA_B03	simons_data_sample_17
SAMEA3302808	LP6005442-DNA_B04	simons_data_sample_18
SAMEA3302821	LP6005519-DNA_E04	simons_data_sample_19
SAMEA3302678	LP6005442-DNA_B08	simons_data_sample_21
SAMEA3302687	LP6005443-DNA_E06	simons_data_sample_22
SAMEA3302853	LP6005443-DNA_E05	simons_data_sample_23
SAMEA3302723	LP6005443-DNA_F11      	simons_data_sample_24
SAMEA3302698	LP6005443-DNA_F10	simons_data_sample_25
SAMEA3302803	LP6005519-DNA_H04	simons_data_sample_26
SAMEA3302764	LP6005442-DNA_F12	simons_data_sample_27
SAMEA3302676	LP6005442-DNA_F10	simons_data_sample_28
SAMEA3302873	LP6005442-DNA_F11	simons_data_sample_29
SAMEA3302863	LP6005592-DNA_D04	simons_data_sample_30
SAMEA3302628	LP6005442-DNA_A10	simons_data_sample_31
SAMEA3302649	LP6005442-DNA_A08	simons_data_sample_32
SAMEA3302719	SS6004478	simons_data_sample_33
SAMEA3302767	LP6005519-DNA_B05	simons_data_sample_35
SAMEA3302895	LP6005519-DNA_B06	simons_data_sample_36
SAMEA3302838	LP6005442-DNA_A04	simons_data_sample_37
SAMEA3302789	LP6005442-DNA_A12	simons_data_sample_38
SAMEA3302744	LP6005443-DNA_A12	simons_data_sample_39
SAMEA3302820	LP6005442-DNA_D03	simons_data_sample_41
SAMEA3302693	LP6005442-DNA_D02	simons_data_sample_42
SAMEA3302884	LP6005442-DNA_D09	simons_data_sample_43
SAMEA3302837	LP6005442-DNA_D08	simons_data_sample_44
SAMEA3302886	LP6005442-DNA_H10	simons_data_sample_45
SAMEA3302748	LP6005442-DNA_H11	simons_data_sample_46
SAMEA3302862	LP6005442-DNA_H12	simons_data_sample_47
SAMEA3302887	LP6005592-DNA_G03	simons_data_sample_48
SAMEA3302807	LP6005592-DNA_G01	simons_data_sample_49
SAMEA3302811	LP6005443-DNA_H11	simons_data_sample_50
SAMEA3302907	LP6005592-DNA_B04	simons_data_sample_51
SAMEA3302905	LP6005592-DNA_B02	simons_data_sample_52
SAMEA3302703	LP6005442-DNA_G12	simons_data_sample_54
SAMEA3302647	LP6005442-DNA_G11	simons_data_sample_55
SAMEA3302631	LP6005442-DNA_G10	simons_data_sample_56
SAMEA3302839	LP6005519-DNA_B04	simons_data_sample_57
SAMEA3302857	LP6005619-DNA_B01	simons_data_sample_58
SAMEA3302768	LP6005677-DNA_A02	simons_data_sample_59
SAMEA3302809	LP6005677-DNA_A03	simons_data_sample_60
SAMEA3302750	LP6005677-DNA_C03	simons_data_sample_61
SAMEA3302885	LP6005442-DNA_B12	simons_data_sample_62
SAMEA3302881	LP6005442-DNA_B10	simons_data_sample_63
SAMEA3302640	LP6005442-DNA_B11	simons_data_sample_64
SAMEA3302612	LP6005443-DNA_B10	simons_data_sample_65
SAMEA3302773	LP6005443-DNA_A03	simons_data_sample_66
SAMEA3302663	LP6005443-DNA_A07	simons_data_sample_67
SAMEA3302763	LP6005443-DNA_A06	simons_data_sample_68
SAMEA3302708	LP6005677-DNA_D03	simons_data_sample_69
SAMEA3302797	LP6005443-DNA_E10	simons_data_sample_70
SAMEA3302796	LP6005443-DNA_E11	simons_data_sample_71
SAMEA3302718	LP6005442-DNA_A03	simons_data_sample_72
SAMEA3302877	SS6004469	simons_data_sample_73
SAMEA3302712	SS6004468	simons_data_sample_74
SAMEA3302672	LP6005519-DNA_F03	simons_data_sample_75
SAMEA3302666	SS6004467	simons_data_sample_76
SAMEA3302688	LP6005519-DNA_F06	simons_data_sample_77
SAMEA3302762	LP6005443-DNA_F04	simons_data_sample_78
SAMEA3302814	LP6005443-DNA_F06	simons_data_sample_79
SAMEA3302831	LP6005443-DNA_F03	simons_data_sample_80
SAMEA3302908	LP6005592-DNA_H03	simons_data_sample_81
SAMEA3302868	LP6005677-DNA_G01	simons_data_sample_82
SAMEA3302834	LP6005519-DNA_G04	simons_data_sample_83
SAMEA3302634	LP6005592-DNA_H01	simons_data_sample_84
SAMEA3302812	LP6005442-DNA_C11	simons_data_sample_85
SAMEA3302751	LP6005442-DNA_C10	simons_data_sample_86
SAMEA3302610	LP6005519-DNA_C05	simons_data_sample_87
SAMEA3302740	LP6005519-DNA_C04	simons_data_sample_88
SAMEA3302724	LP6005519-DNA_C06	simons_data_sample_89
SAMEA3302901	LP6005519-DNA_C03	simons_data_sample_90
SAMEA3302711	LP6005442-DNA_D10	simons_data_sample_91
SAMEA3302613	LP6005442-DNA_D11	simons_data_sample_92
SAMEA3302757	LP6005677-DNA_D01	simons_data_sample_93
SAMEA3302668	LP6005443-DNA_H08	simons_data_sample_94
SAMEA3302642	LP6005443-DNA_H02	simons_data_sample_95
SAMEA3302641	LP6005443-DNA_H03      	simons_data_sample_96
SAMEA3302715	LP6005592-DNA_F03	simons_data_sample_97
SAMEA3302747	LP6005592-DNA_F01	simons_data_sample_98
SAMEA3302844	LP6005443-DNA_H05	simons_data_sample_99
SAMEA3302741	LP6005442-DNA_G09	simons_data_sample_100
SAMEA3302843	LP6005442-DNA_G04	simons_data_sample_101
SAMEA3302732	LP6005442-DNA_G07	simons_data_sample_102
SAMEA3302624	LP6005442-DNA_G02	simons_data_sample_103
SAMEA3302679	LP6005442-DNA_G03	simons_data_sample_104
SAMEA3302788	LP6005519-DNA_F04	simons_data_sample_105
SAMEA3302854	LP6005442-DNA_E11	simons_data_sample_106
SAMEA3302707	LP6005442-DNA_E10	simons_data_sample_107
SAMEA3302781	LP6005442-DNA_E12	simons_data_sample_108
SAMEA3302799	LP6005592-DNA_A04	simons_data_sample_110
SAMEA3302651	LP6005592-DNA_A02	simons_data_sample_111
SAMEA3302697	SS6004479	simons_data_sample_112
SAMEA3302876	SS6004474	simons_data_sample_113
SAMEA3302730	SS6004475	simons_data_sample_114
SAMEA3302902	SS6004476	simons_data_sample_115
SAMEA3302681	SS6004477	simons_data_sample_116
SAMEA3302736	SS6004470	simons_data_sample_117
SAMEA3302833	SS6004471	simons_data_sample_118
