entity:CHM13_SGDP_sample_id	sample_accession	run_accession	fastq1	fastq2	sex	illumina_sample_id
simons_data_sample_1	SAMEA3302733	ERR1395603				
simons_data_sample_2	SAMEA3302774	ERR1347676				
simons_data_sample_3	SAMEA3302735	ERR1347674				
simons_data_sample_4	SAMEA3302664	ERR1347675				
simons_data_sample_5	SAMEA3302819	ERR1347703				
simons_data_sample_6	SAMEA3302734	ERR1347698				
simons_data_sample_7	SAMEA3302852	ERR1395570				
simons_data_sample_8	SAMEA3302752	ERR1347699				
simons_data_sample_9	SAMEA3302618	ERR1347738				
simons_data_sample_10	SAMEA3302645	ERR1395561				
simons_data_sample_11	SAMEA3302800	ERR1395572				
simons_data_sample_12	SAMEA3302694	ERR1395582				
simons_data_sample_13	SAMEA3302717	ERR1395586				
simons_data_sample_14	SAMEA3302780	ERR1395585				
simons_data_sample_15	SAMEA3302891	ERR1347700				
simons_data_sample_16	SAMEA3302848	ERR1395589				
simons_data_sample_17	SAMEA3302842	ERR1419180				
simons_data_sample_18	SAMEA3302808	ERR1419181				
simons_data_sample_19	SAMEA3302821	ERR1395552				
simons_data_sample_21	SAMEA3302678	ERR1419182				
simons_data_sample_22	SAMEA3302687	ERR1347716				
simons_data_sample_23	SAMEA3302853	ERR1347715				
simons_data_sample_24	SAMEA3302723	ERR1347730				
simons_data_sample_25	SAMEA3302698	ERR1347729				
simons_data_sample_26	SAMEA3302803	ERR1395562				
simons_data_sample_27	SAMEA3302764	ERR1347663				
simons_data_sample_28	SAMEA3302676	ERR1347661				
simons_data_sample_29	SAMEA3302873	ERR1347662				
simons_data_sample_30	SAMEA3302863	ERR1395574				
simons_data_sample_31	SAMEA3302628	ERR1419175				
simons_data_sample_32	SAMEA3302649	ERR1419174				
simons_data_sample_33	SAMEA3302719	ERR1395601				
simons_data_sample_35	SAMEA3302767	ERR1395612				
simons_data_sample_36	SAMEA3302895	ERR1395613				
simons_data_sample_37	SAMEA3302838	ERR1419173				
simons_data_sample_38	SAMEA3302789	ERR1419177				
simons_data_sample_39	SAMEA3302744	ERR1347686				
simons_data_sample_41	SAMEA3302820	ERR1419192				
simons_data_sample_42	SAMEA3302693	ERR1419191				
simons_data_sample_43	SAMEA3302884	ERR1419194				
simons_data_sample_44	SAMEA3302837	ERR1419193				
simons_data_sample_45	SAMEA3302886	ERR1347677				
simons_data_sample_46	SAMEA3302748	ERR1347678				
simons_data_sample_47	SAMEA3302862	ERR1347679				
simons_data_sample_48	SAMEA3302887	ERR1395578				
simons_data_sample_49	SAMEA3302807	ERR1395621				
simons_data_sample_50	SAMEA3302811	ERR1395607				
simons_data_sample_51	SAMEA3302907	ERR1395568				
simons_data_sample_52	SAMEA3302905	ERR1395566				
simons_data_sample_54	SAMEA3302703	ERR1347672				
simons_data_sample_55	SAMEA3302647	ERR1347671				
simons_data_sample_56	SAMEA3302631	ERR1347670				
simons_data_sample_57	SAMEA3302839	ERR1395611				
simons_data_sample_58	SAMEA3302857	ERR1395581				
simons_data_sample_59	SAMEA3302768	ERR1395583				
simons_data_sample_60	SAMEA3302809	ERR1395584				
simons_data_sample_61	SAMEA3302750	ERR1395587				
simons_data_sample_62	SAMEA3302885	ERR1419185				
simons_data_sample_63	SAMEA3302881	ERR1419183				
simons_data_sample_64	SAMEA3302640	ERR1419184				
simons_data_sample_65	SAMEA3302612	ERR1347695				
simons_data_sample_66	SAMEA3302773	ERR1347682				
simons_data_sample_67	SAMEA3302663	ERR1347684				
simons_data_sample_68	SAMEA3302763	ERR1347683				
simons_data_sample_69	SAMEA3302708	ERR1395588				
simons_data_sample_70	SAMEA3302797	ERR1347720				
simons_data_sample_71	SAMEA3302796	ERR1347721				
simons_data_sample_72	SAMEA3302718	ERR1419172				
simons_data_sample_73	SAMEA3302877	ERR1395592				
simons_data_sample_74	SAMEA3302712	ERR1395619				
simons_data_sample_75	SAMEA3302672	ERR1395555				
simons_data_sample_76	SAMEA3302666	ERR1395618				
simons_data_sample_77	SAMEA3302688	ERR1395557				
simons_data_sample_78	SAMEA3302762	ERR1347725				
simons_data_sample_79	SAMEA3302814	ERR1347726				
simons_data_sample_80	SAMEA3302831	ERR1347724				
simons_data_sample_81	SAMEA3302908	ERR1395580				
simons_data_sample_82	SAMEA3302868	ERR1395591				
simons_data_sample_83	SAMEA3302834	ERR1395560				
simons_data_sample_84	SAMEA3302634	ERR1395579				
simons_data_sample_85	SAMEA3302812	ERR1419189				
simons_data_sample_86	SAMEA3302751	ERR1625859				
simons_data_sample_87	SAMEA3302610	ERR1395545				
simons_data_sample_88	SAMEA3302740	ERR1395615				
simons_data_sample_89	SAMEA3302724	ERR1395546				
simons_data_sample_90	SAMEA3302901	ERR1395614				
simons_data_sample_91	SAMEA3302711	ERR1419195				
simons_data_sample_92	SAMEA3302613	ERR1419196				
simons_data_sample_93	SAMEA3302757	ERR1395622				
simons_data_sample_94	SAMEA3302668	ERR1395606				
simons_data_sample_95	SAMEA3302642	ERR1347740				
simons_data_sample_96	SAMEA3302641	ERR1347741				
simons_data_sample_97	SAMEA3302715	ERR1395577				
simons_data_sample_98	SAMEA3302747	ERR1395576				
simons_data_sample_99	SAMEA3302844	ERR1395604				
simons_data_sample_100	SAMEA3302741	ERR1347669				
simons_data_sample_101	SAMEA3302843	ERR1347667				
simons_data_sample_102	SAMEA3302732	ERR1347668				
simons_data_sample_103	SAMEA3302624	ERR1347665				
simons_data_sample_104	SAMEA3302679	ERR1347666				
simons_data_sample_105	SAMEA3302788	ERR1395556				
simons_data_sample_106	SAMEA3302854	ERR1625858				
simons_data_sample_107	SAMEA3302707	ERR1419199				
simons_data_sample_108	SAMEA3302781	ERR1347657				
simons_data_sample_110	SAMEA3302799	ERR1395564				
simons_data_sample_111	SAMEA3302651	ERR1395563				
simons_data_sample_112	SAMEA3302697	ERR1395602				
simons_data_sample_113	SAMEA3302876	ERR1395597				
simons_data_sample_114	SAMEA3302730	ERR1395598				
simons_data_sample_115	SAMEA3302902	ERR1395599				
simons_data_sample_116	SAMEA3302681	ERR1395600				
simons_data_sample_117	SAMEA3302736	ERR1395593				
simons_data_sample_118	SAMEA3302833	ERR1395594				
simons_data_sample_119	SAMEA3302650	ERR1395595				
simons_data_sample_120	SAMEA3302894	ERR1395596				
simons_data_sample_121	SAMEA3302623	ERR1347735				
simons_data_sample_122	SAMEA3302654	ERR1347734				
simons_data_sample_123	SAMEA3302856	ERR1347733				
simons_data_sample_124	SAMEA3302670	ERR1347689				
simons_data_sample_125	SAMEA3302720	ERR1347690				
simons_data_sample_126	SAMEA3302859	ERR1347691				
simons_data_sample_127	SAMEA3302826	ERR1347692				
simons_data_sample_128	SAMEA3302792	ERR1347694				
simons_data_sample_129	SAMEA3302745	ERR1419198				
simons_data_sample_130	SAMEA3302729	ERR1419197				
simons_data_sample_131	SAMEA3302829	ERR1395559				
simons_data_sample_132	SAMEA3302709	ERR1395558				
simons_data_sample_134	SAMEA3302896	ERR1395590				
simons_data_sample_135	SAMEA3302759	ERR1395554				
simons_data_sample_136	SAMEA3302861	ERR1395553				
simons_data_sample_137	SAMEA3302691	ERR1395548				
simons_data_sample_138	SAMEA3302655	ERR1419186				
simons_data_sample_139	SAMEA3302784	ERR1395547				
simons_data_sample_140	SAMEA3302874	ERR1419187				
simons_data_sample_141	SAMEA3302725	ERR1395549				
simons_data_sample_142	SAMEA3302722	ERR1419188				
simons_data_sample_143	SAMEA3302778	ERR1347709				
simons_data_sample_144	SAMEA3302806	ERR1347707				
simons_data_sample_145	SAMEA3302889	ERR1347708				
simons_data_sample_146	SAMEA3302660	ERR1347706				
simons_data_sample_147	SAMEA3302911	ERR1347712				
simons_data_sample_149	SAMEA3302692	ERR1395610				
simons_data_sample_150	SAMEA3302714	ERR1395609				
simons_data_sample_151	SAMEA3302633	ERR1395608				
simons_data_sample_152	SAMEA3302705	ERR1395620				
simons_data_sample_153	SAMEA3302699	ERR1395575				
simons_data_sample_154	SAMEA3302675	ERR1347659				
simons_data_sample_155	SAMEA3302753	ERR1419200				
simons_data_sample_156	SAMEA3302810	ERR1347660				
simons_data_sample_157	SAMEA3302883	ERR1419176				
simons_data_sample_158	SAMEA3302696	ERR1395551				
simons_data_sample_159	SAMEA3302742	ERR1395550				
simons_data_sample_160	SAMEA3302793	ERR1347673				
simons_data_sample_161	SAMEA3302671	ERR1347702				
simons_data_sample_162	SAMEA3302648	ERR1347697				
simons_data_sample_163	SAMEA3302643	ERR1347701				
simons_data_sample_164	SAMEA3302769	ERR1395571				
simons_data_sample_165	SAMEA3302836	ERR1419166				
simons_data_sample_166	SAMEA3302897	ERR1419167				
simons_data_sample_167	SAMEA3302835	ERR1419179				
simons_data_sample_168	SAMEA3302845	ERR1419163				
simons_data_sample_169	SAMEA3302662	ERR1419164				
simons_data_sample_170	SAMEA3302904	ERR1419165				
simons_data_sample_171	SAMEA3302888	ERR1347719				
simons_data_sample_172	SAMEA3302746	ERR1347718				
simons_data_sample_173	SAMEA3302626	ERR1347717				
