Sequencing_Panel	Sample_ID_Illumina	Sample_ID_Collaborator	Sample_ID_SGDP	Embargo_level	Sex	Population_ID	Region	Country
B	SS6004480	DNK07	B_Dinka-3	X	XY	Dinka	Africa	Sudan
B	SS6004473	HGDP01036	B_Ju_hoan_North-4	X	XY	Ju_hoan_North	Africa	Namibia
B	SS6004470	HGDP01286	B_Mandenka-3	X	XY	Mandenka	Africa	Senegal
B	SS6004471	HGDP00982	B_Mbuti-4	X	XY	Mbuti	Africa	Congo
B	SS6004475	HGDP00936	B_Yoruba-3	X	XY	Yoruba	Africa	Nigeria
B	SS6004476	HGDP01015	B_Karitiana-3	X	XY	Karitiana	America	Brazil
B	SS6004479	mixe0007	B_Mixe-1	X	XX	Mixe	America	Mexico
B	SS6004467	HGDP01308	B_Dai-4	X	XY	Dai	EastAsia	China
B	SS6004469	HGDP00775	B_Han-3	X	XY	Han	EastAsia	China
B	SS6004478	IHW9118	B_Australian-3	X	XX	Australian	Oceania	Australia
B	SS6004477	IHW9193	B_Australian-4	X	XY	Australian	Oceania	Australia
B	SS6004472	HGDP00546	B_Papuan-15	X	XY	Papuan	Oceania	PapuaNewGuinea
B	LP6007076-DNA_A01	SS6004486	BR_Kashmiri_Pandit-1	Y	XY	Kashmiri_Pandit	SouthAsia	India
B	LP6007071-DNA_A01	SS6004481	BR_Kharia-1	Y	XY	Kharia	SouthAsia	India
B	LP6007072-DNA_A01	SS6004482	BR_Kurumba-1	Y	XY	Kurumba	SouthAsia	India
B	LP6007075-DNA_A01	SS6004485	BR_Mala-1	Y	XX	Mala	SouthAsia	India
B	LP6007073-DNA_A01	SS6004483	BR_Onge-1	Y	XX	Onge	SouthAsia	India
B	LP6007074-DNA_A01	SS6004484	BR_Onge-2	Y	XX	Onge	SouthAsia	India
B	LP6007069-DNA_A01	AV-21	B_Crete-1	X	XX	Crete	WestEurasia	Greece
B	LP6007068-DNA_A01	TZ-11	B_Crete-2	X	XY	Crete	WestEurasia	Greece
B	SS6004468	HGDP00533	B_French-3	X	XY	French	WestEurasia	France
B	SS6004474	HGDP01076	B_Sardinian-3	X	XY	Sardinian	WestEurasia	Italy
C	LP6005443-DNA_E02	HGDP01028	S_BantuHerero-1	X	XY	BantuHerero	Africa	BotswanaOrNamibia
C	LP6005441-DNA_F01	HGDP01035	S_BantuHerero-2	X	XY	BantuHerero	Africa	BotswanaOrNamibia
C	LP6005443-DNA_A01	HGDP01417	S_BantuKenya-1	X	XY	BantuKenya	Africa	Kenya
C	LP6005441-DNA_B02	HGDP01414	S_BantuKenya-2	X	XX	BantuKenya	Africa	Kenya
C	LP6005443-DNA_G02	HGDP01030	S_BantuTswana-1	X	XY	BantuTswana	Africa	BotswanaOrNamibia
C	LP6005443-DNA_F02	HGDP01034	S_BantuTswana-2	X	XY	BantuTswana	Africa	BotswanaOrNamibia
C	LP6005441-DNA_G02	HGDP00457	S_Biaka-1	X	XY	Biaka	Africa	Central African Republic
C	LP6005441-DNA_H02	HGDP00461	S_Biaka-2	X	XY	Biaka	Africa	Central African Republic
C	LP6005443-DNA_H08	DNK05	S_Dinka-1	X	XY	Dinka	Africa	Sudan
C	LP6005443-DNA_B09	DNK11	S_Dinka-2	X	XY	Dinka	Africa	Sudan
C	LP6005442-DNA_A10	HG03100	S_Esan-1	X	XY	Esan	Africa	Nigeria
C	LP6005442-DNA_B10	HG02943	S_Esan-2	X	XX	Esan	Africa	Nigeria
C	LP6005442-DNA_G10	HG02464	S_Gambian-1	X	XY	Gambian	Africa	Gambia
C	LP6005442-DNA_H10	HG02574	S_Gambian-2	X	XX	Gambian	Africa	Gambia
C	LP6005519-DNA_A12	NGIB034	S_Igbo-1	Y	XY	Igbo	Africa	Nigeria
C	LP6005519-DNA_B12	NGIB042	S_Igbo-2	Y	XX	Igbo	Africa	Nigeria
C	LP6005443-DNA_G08	HGDP00991	S_Ju_hoan_North-1	X	XY	Ju_hoan_North	Africa	Namibia
C	LP6005441-DNA_B11	HGDP00987	S_Ju_hoan_North-2	X	XY	Ju_hoan_North	Africa	Namibia
C	LP6005441-DNA_A11	HGDP01032	S_Ju_hoan_North-3	X	XY	Ju_hoan_North	Africa	Namibia
C	LP6005677-DNA_D03	SA0342	S_Khomani_San-1	X	XX	Khomani_San	Africa	SouthAfrica
C	LP6005592-DNA_C05	SA0722	S_Khomani_San-2	X	XX	Khomani_San	Africa	SouthAfrica
C	LP6005519-DNA_A09	COKN016	S_Kongo-2	Y	XX	Kongo	Africa	Congo
C	LP6005677-DNA_C04	CALM031	S_Lemande-1	Y	XX	Lemande	Africa	Cameroon
C	LP6005677-DNA_D04	CALM016	S_Lemande-2	Y	XY	Lemande	Africa	Cameroon
C	LP6005442-DNA_F11	NA19023	S_Luhya-1	X	XX	Luhya	Africa	Kenya
C	LP6005442-DNA_E11	NA19044	S_Luhya-2	X	XY	Luhya	Africa	Kenya
C	LP6005677-DNA_G01	Ayodo_430C	S_Luo-1	X	XY	Luo	Africa	Kenya
C	LP6005442-DNA_F09	Ayodo_502C	S_Luo-2	X	XX	Luo	Africa	Kenya
C	LP6005441-DNA_E07	HGDP01199	S_Mandenka-1	X	XY	Mandenka	Africa	Senegal
C	LP6005441-DNA_F07	HGDP00915	S_Mandenka-2	X	XX	Mandenka	Africa	Senegal
C	LP6005443-DNA_F06	NA21490	S_Masai-1	X	XY	Masai	Africa	Kenya
C	LP6005443-DNA_E06	NA21581	S_Masai-2	X	XY	Masai	Africa	Kenya
C	LP6005592-DNA_C03	HGDP00474	S_Mbuti-1	X	XY	Mbuti	Africa	Congo
C	LP6005441-DNA_B08	HGDP00476	S_Mbuti-2	X	XX	Mbuti	Africa	Congo
C	LP6005441-DNA_A08	HGDP00449	S_Mbuti-3	X	XY	Mbuti	Africa	Congo
C	LP6005442-DNA_G11	HG03078	S_Mende-1	X	XY	Mende	Africa	SierraLeone
C	LP6005442-DNA_H11	HG03085	S_Mende-2	X	XX	Mende	Africa	SierraLeone
